,Date,Open,High,Low,Close,Volume
812,3/24/2016,36.6004982,36.88734818,36.54999924,36.76499939,31898000
813,3/28/2016,36.83950043,36.94950104,36.625,36.67649841,26026000
814,3/29/2016,36.72949982,37.36249924,36.43799973,37.23849869,38076000
815,3/30/2016,37.50500107,37.89400101,37.43700027,37.5265007,35648000
816,3/31/2016,37.46250153,37.54249954,37.04700089,37.24750137,34376000
817,4/1/2016,36.93000031,37.51699829,36.84999847,37.49549866,31534000
818,4/4/2016,37.50299835,37.63999939,37.12149811,37.26449966,22684000
819,4/5/2016,36.90000153,37.13999939,36.76850128,36.88999939,22646000
820,4/6/2016,36.78850174,37.31200027,36.77799988,37.28450012,21074000
821,4/7/2016,37.26850128,37.34999847,36.81399918,37.01399994,29064000
822,4/8/2016,37.19850159,37.27249908,36.77750015,36.95750046,25816000
823,4/11/2016,37.15100098,37.25,36.80250168,36.80500031,24402000
824,4/12/2016,36.90000153,37.19150162,36.55049896,37.15449905,27060000
825,4/13/2016,37.45800018,37.71900177,37.21305084,37.58599854,34142000
826,4/14/2016,37.70050049,37.8655014,37.63525009,37.65999985,22706000
827,4/15/2016,37.69900131,38.04999924,37.63470078,37.95000076,36186000
828,4/18/2016,38.02299881,38.40250015,37.86500168,38.33050156,31176000
829,4/19/2016,38.4754982,38.49499893,37.46649933,37.69649887,40610000
830,4/20/2016,37.90000153,37.90660095,37.50049973,37.63349915,30584000
831,4/21/2016,37.76900101,38.02249908,37.47750092,37.95700073,61210000
832,4/22/2016,36.31499863,36.80599976,35.68050003,35.93849945,119038000
833,4/25/2016,35.80500031,36.19649887,35.77949905,36.15750122,39184000
834,4/26/2016,36.27099991,36.28829956,35.15129852,35.4070015,54892000
835,4/27/2016,35.36449814,35.44900131,34.6182518,35.29199982,61972000
836,4/28/2016,35.4129982,35.70849991,34.47750092,34.55099869,57346000
837,4/29/2016,34.53499985,34.88100052,34.45000076,34.65050125,49754000
838,5/2/2016,34.88150024,35.0320015,34.54999924,34.91049957,32906000
839,5/3/2016,34.84349823,34.89199829,34.59999847,34.61800003,30876000
840,5/4/2016,34.5245018,34.98749924,34.45050049,34.78499985,33870000
841,5/5/2016,34.88499832,35.11600113,34.7859993,35.07149887,33670000
842,5/6/2016,34.91899872,35.5929985,34.90534973,35.55599976,36586000
843,5/9/2016,35.59999847,35.9355011,35.5,35.64500046,30206000
844,5/10/2016,35.83750153,36.17499924,35.7859993,36.1590004,31392000
845,5/11/2016,36.17050171,36.22399902,35.63999939,35.76449966,33842000
846,5/12/2016,35.85300064,35.96250153,35.45000076,35.66550064,27214000
847,5/13/2016,35.5965004,35.83309937,35.46300125,35.54150009,26290000
848,5/16/2016,35.45650101,35.92399979,35.28250122,35.82450104,26342000
849,5/17/2016,35.79949951,36.07600021,35.20550156,35.31150055,40024000
850,5/18/2016,35.18349838,35.58000183,35.03150177,35.33150101,35336000
851,5/19/2016,35.11800003,35.29999924,34.84000015,35.01599884,33404000
852,5/20/2016,35.08100128,35.72900009,35.02600098,35.48699951,36568000
853,5/23/2016,35.32649994,35.57389832,35.20899963,35.2120018,26614000
854,5/24/2016,35.3429985,36.04850006,35.3429985,36.00450134,38590000
855,5/25/2016,36.0379982,36.37549973,35.98524857,36.26350021,32584000
856,5/26/2016,36.14350128,36.41650009,36.01399994,36.20600128,31526000
857,5/27/2016,36.20050049,36.69680023,36.20000076,36.63299942,39500000
858,5/31/2016,36.5870018,36.98649979,36.56299973,36.7859993,42590000
859,6/1/2016,36.72650146,36.86050034,36.53300095,36.70750046,25072000
860,6/2/2016,36.625,36.65100098,36.20849991,36.52000046,26836000
861,6/3/2016,36.46350098,36.47449875,36.02799988,36.11700058,24526000
862,6/6/2016,36.24549866,36.24549866,35.73049927,35.82749939,31306000
863,6/7/2016,35.99200058,36.09899902,35.82749939,35.83250046,26724000
864,6/8/2016,36.19800186,36.42850113,36.02899933,36.41400146,31674000
865,6/9/2016,36.14350128,36.47700119,36.1167984,36.42900085,19778000
866,6/10/2016,35.9734993,36.29449844,35.82149887,35.97050095,24328000
867,6/13/2016,35.82550049,36.27199936,35.82550049,35.91799927,25178000
868,6/14/2016,35.82400131,36.12350082,35.65599823,35.91350174,26122000
869,6/15/2016,35.95000076,36.14899826,35.8655014,35.94599915,24290000
870,6/16/2016,35.74549866,35.83250046,35.1629982,35.51800156,39650000
871,6/17/2016,35.43249893,35.44100189,34.42259979,34.58599854,68048000
872,6/20/2016,34.93849945,35.12400055,34.67050171,34.6855011,41650000
873,6/21/2016,34.91999817,35.13850021,34.6004982,34.79700089,29312000
874,6/22/2016,34.95299911,35.04299927,34.65409851,34.8730011,23686000
875,6/23/2016,34.87250137,35.09749985,34.34999847,35.09349823,43428000
876,6/24/2016,33.75849915,34.47000122,33.67250061,33.76100159,88980000
877,6/27/2016,33.54999924,33.61500168,33.16419983,33.4129982,52580000
878,6/28/2016,33.94850159,34.01649857,33.65000153,34.0019989,43476000
879,6/29/2016,34.15000153,34.37144852,34.07049942,34.20550156,38652000
880,6/30/2016,34.27349854,34.61600113,34.18249893,34.60499954,31954000
881,7/1/2016,34.61000061,35.03250122,34.60649872,34.96049881,26894000
882,7/5/2016,34.8030014,34.84700012,34.44400024,34.74750137,29252000
883,7/6/2016,34.49900055,35.08399963,34.45449829,34.88850021,28238000
884,7/7/2016,34.90399933,34.90999985,34.41075134,34.76800156,26084000
885,7/8/2016,34.97499847,35.28549957,34.82175064,35.28150177,31504000
886,7/11/2016,35.40250015,35.82550049,35.36199951,35.75450134,22236000
887,7/12/2016,35.95600128,36.14699936,35.79550171,36.0320015,26738000
888,7/13/2016,36.18099976,36.20000076,35.84249878,35.84899902,18718000
889,7/14/2016,36.07899857,36.11050034,35.9015007,36.04750061,19004000
890,7/15/2016,36.28649902,36.28699875,35.95275116,35.99250031,25586000
891,7/18/2016,36.13550186,36.80649948,36.05950165,36.68899918,25910000
892,7/19/2016,36.49449921,36.84949875,36.45000076,36.84799957,24550000
893,7/20/2016,36.86650085,37.10649872,36.85499954,37.05950165,25794000
894,7/21/2016,37.01800156,37.08449936,36.79154968,36.93149948,20526000
895,7/22/2016,37.0929985,37.16199875,36.82799911,37.13700104,25196000
896,7/25/2016,37.03350067,37.13050079,36.875,36.98849869,20648000
897,7/26/2016,36.95199966,37.08449936,36.71350098,36.92100143,23734000
898,7/27/2016,36.91400146,37.22299957,36.84999847,37.08850098,30250000
899,7/28/2016,37.35200119,37.43249893,36.96500015,37.29550171,70604000
900,7/29/2016,38.63550186,38.92750168,38.33850098,38.4394989,76830000
901,8/1/2016,38.05450058,39.02149963,38.05450058,38.64400101,54010000
902,8/2/2016,38.43450165,38.79199982,38.39250183,38.55350113,35690000
903,8/3/2016,38.35900116,38.66049957,38.3409996,38.6590004,25748000
904,8/4/2016,38.61100006,38.70349884,38.43975067,38.58050156,22806000
905,8/5/2016,38.68899918,39.15200043,38.61700058,39.11100006,36024000
906,8/8/2016,39.09999847,39.13150024,38.90454865,39.08800125,22158000
907,8/9/2016,39.05500031,39.4469986,39.0284996,39.21300125,26378000
908,8/10/2016,39.1875,39.34059906,39.13890076,39.23400116,15728000
909,8/11/2016,39.25,39.48749924,39.14849854,39.24250031,19502000
910,8/12/2016,39.07500076,39.16975021,39.02000046,39.1609993,14810000
911,8/15/2016,39.1875,39.37450027,39.00550079,39.12200165,18764000
912,8/16/2016,39.01499939,39.04899979,38.67219925,38.85699844,20560000
913,8/17/2016,38.86600113,39.04050064,38.67649841,38.99549866,18484000
914,8/18/2016,39.00049973,39.14300156,38.84999847,38.875,14388000
915,8/19/2016,38.75,38.85499954,38.65650177,38.77099991,17230000
916,8/22/2016,38.66350174,38.72700119,38.50249863,38.60749817,19028000
917,8/23/2016,38.77399826,38.8219986,38.58924866,38.60400009,18564000
918,8/24/2016,38.52899933,38.72499847,38.35350037,38.48199844,21440000
919,8/25/2016,38.34999847,38.5945015,38.15924835,38.47050095,18538000
920,8/26/2016,38.45000076,38.80400085,38.29249954,38.47700119,23334000
921,8/29/2016,38.43700027,38.74950027,38.33074951,38.60749817,16952000
922,8/30/2016,38.46649933,38.72330093,38.34199905,38.45449829,22600000
923,8/31/2016,38.3504982,38.45449829,38.26900101,38.35250092,24972000
924,9/1/2016,38.46250153,38.55099869,38.21500015,38.43899918,18502000
925,9/2/2016,38.65050125,38.69599915,38.42050171,38.57300186,21454000
926,9/6/2016,38.67250061,39.09999847,38.54999924,39.00400162,28856000
927,9/7/2016,39,39.13650131,38.81000137,39.01750183,17874000
928,9/8/2016,38.92950058,39.01750183,38.67900085,38.76599884,25406000
929,9/9/2016,38.50500107,38.66225052,37.98300171,37.98300171,37710000
930,9/12/2016,37.75650024,38.51449966,37.70000076,38.45100021,26220000
931,9/13/2016,38.22399902,38.31100082,37.79000092,37.98450089,27900000
932,9/14/2016,37.98049927,38.38399887,37.95550156,38.12450027,21748000
933,9/15/2016,38.14450073,38.68999863,37.9980011,38.58800125,26102000
934,9/16/2016,38.48749924,38.48749924,38.23300171,38.44400024,40986000
935,9/19/2016,38.62099838,38.70000076,38.22204971,38.28499985,23456000
936,9/20/2016,38.45000076,38.66650009,38.42649841,38.57049942,19572000
937,9/21/2016,38.63299942,38.85800171,38.41505051,38.81100082,23356000
938,9/22/2016,39,39.49250031,38.92200089,39.36050034,29724000
939,9/23/2016,39.32949829,39.44649887,39.20750046,39.34500122,28238000
940,9/26/2016,39.13700104,39.13700104,38.6534996,38.71049881,30664000
941,9/27/2016,38.77500153,39.29949951,38.7154007,39.15050125,23064000
942,9/28/2016,38.89250183,39.09049988,38.74850082,39.07799911,22196000
943,9/29/2016,39.0719986,39.29000092,38.71160126,38.75049973,26294000
944,9/30/2016,38.81650162,39.04700089,38.70449829,38.86449814,31706000
945,10/3/2016,38.71250153,38.80324936,38.47499847,38.62799835,25576000
946,10/4/2016,38.80149841,38.9355011,38.64450073,38.82149887,24028000
947,10/5/2016,38.96549988,39.10350037,38.78250122,38.82350159,29224000
948,10/6/2016,38.95000076,39.02399826,38.77700043,38.8429985,21414000
949,10/7/2016,38.98300171,38.98300171,38.53749847,38.75400162,18664000
950,10/10/2016,38.88550186,39.46900177,38.79349899,39.29700089,23498000
951,10/11/2016,39.33300018,39.61399841,39.02899933,39.1534996,27450000
952,10/12/2016,39.18799973,39.40650177,39.10300064,39.30699921,18748000
953,10/13/2016,39.06100082,39.06100082,38.65000153,38.90950012,27306000
954,10/14/2016,39.08250046,39.19749832,38.79999924,38.92649841,17050000
955,10/17/2016,38.99000168,39.29249954,38.875,38.9980011,21860000
956,10/18/2016,39.39250183,40.08050156,39.27825165,39.76300049,41138000
